Language	Lang fam	Max sim	Min sim	Avg sim
Tamil	Dravidian languages, Dravidian languages	0.7979 Estonian, 0.7787 Telugu, 0.7487 Latvian	0.0679 Classical Chinese, 0.1832 Arabic, 0.2149 Sanskrit	0.5932
Telugu	Dravidian languages, Dravidian languages	0.7787 Tamil, 0.7691 Estonian, 0.7548 Finnish	0.0714 Classical Chinese, 0.1696 Arabic, 0.1937 Wolof	0.5702
Turkish	Turkic languages, Turkic languages	0.7305 Irish, 0.7053 Swedish, 0.7045 Finnish	0.0656 Classical Chinese, 0.1607 Arabic, 0.162 Wolof	0.547
Ukrainian	Indo-European languages, Slavic languages	0.9387 Belarusian, 0.901 Russian, 0.8984 Latvian	0.0409 Classical Chinese, 0.1726 Wolof, 0.1778 Sanskrit	0.6193
Urdu	Indo-European languages, Indo-Iranian languages	0.7134 Hindi, 0.6504 Basque, 0.6296 Slovenian	0.0568 Classical Chinese, 0.1504 Arabic, 0.2068 Kazakh	0.4873
Uyghur	Turkic languages, Turkic languages	0.6243 Telugu, 0.5712 Irish, 0.5643 Turkish	0.1005 Classical Chinese, 0.1421 Arabic, 0.1561 Wolof	0.4485
Vietnamese	Austroasiatic languages, Vietic languages	0.6718 Swedish, 0.668 Danish, 0.6676 Lithuanian	0.1387 Wolof, 0.1471 Kazakh, 0.1569 Arabic	0.5233
Classical Chinese	Sino-Tibetan languages, Sinitic (Chinese) languages	0.2289 Vietnamese, 0.162 Chinese, 0.1182 Marathi	0.0156 Arabic, 0.021 Kazakh, 0.0286 Indonesian	0.0801
Wolof	Niger-Congo languages, Senegambian languages	0.3377 Tamil, 0.3067 Hindi, 0.2912 Chinese	0.0507 Kazakh, 0.0567 Arabic, 0.0801 Classical Chinese	0.2004
Chinese	Sino-Tibetan languages, Sinitic (Chinese) languages	0.7192 Latin, 0.7149 Basque, 0.6826 Swedish	0.162 Classical Chinese, 0.1652 Kazakh, 0.1756 Arabic	0.5306
Old Church Slavonic	Indo-European languages, Slavic languages	0.6537 Sanskrit, 0.5568 Korean, 0.5404 Latin	0.1002 Arabic, 0.1078 Classical Chinese, 0.1733 Hebrew	0.3995
