Structure	Frequency	% of Lang
VERB(NOUN-dislocated, PUNCT-punct, VERB-ccomp)	1	1.72%
VERB(ADV-advcl, PUNCT-punct)	1	1.72%
CCONJ(NOUN-nsubj, VERB-conj)	1	1.72%
CCONJ(NOUN-obj, PUNCT-punct, VERB-conj)	1	1.72%
VERB(ADV-advcl, NOUN-dislocated, NOUN-obj, PUNCT-punct)	1	1.72%
NOUN(PROPN-compound)	1	1.72%
CCONJ(ADV-advcl, VERB-conj)	1	1.72%
VERB(AUX-aux, NOUN-nsubj:pass, NOUN-obl, PUNCT-punct)	1	1.72%
VERB(AUX-aux, NOUN-nsubj:pass, NOUN-obl, NOUN-obl, PUNCT-punct)	1	1.72%
VERB(AUX-aux, NOUN-nsubj, PROPN-obl, PUNCT-punct)	1	1.72%
VERB(PUNCT-punct, VERB-nsubj)	1	1.72%
VERB(AUX-aux:pass, AUX-aux:pass, NOUN-obj, NOUN-obl, PUNCT-punct)	1	1.72%
ADJ(AUX-cop, NOUN-nmod, PROPN-nsubj, PUNCT-punct)	1	1.72%
VERB(ADJ-compound, AUX-aux, NOUN-nsubj, NOUN-obl, PUNCT-punct)	1	1.72%
ADJ(AUX-cop, NOUN-nmod, NOUN-nmod, NOUN-nsubj, PUNCT-punct)	1	1.72%
VERB(NOUN-nsubj, NOUN-obl, PRON-expl, PUNCT-punct, VERB-conj)	1	1.72%
VERB(NOUN-obl, PROPN-nsubj:pass, PUNCT-punct)	1	1.72%
VERB(ADV-advmod, NOUN-obj, PROPN-nsubj, PUNCT-punct)	1	1.72%
PROPN(PROPN-flat)	1	1.72%
VERB(NOUN-obj, PROPN-nsubj, PUNCT-punct, VERB-conj)	1	1.72%
VERB(NOUN-obj, PROPN-nsubj, PUNCT-punct, PUNCT-punct, VERB-advcl)	1	1.72%
NOUN(NOUN-compound:smixut)	1	1.72%
VERB(NOUN-nsubj, NOUN-obl, PUNCT-punct, PUNCT-punct, VERB-conj)	1	1.72%
VERB(AUX-aux, NOUN-obj)	1	1.72%
VERB(AUX-aux, NOUN-obl)	1	1.72%
VERB(NOUN-obl, NOUN-obl, PUNCT-punct)	1	1.72%
ADJ(NOUN-obl, PUNCT-punct)	1	1.72%
VERB(NOUN-obl, NOUN-obl, NOUN-obl, PUNCT-punct)	1	1.72%
VERB(NOUN-obl, PUNCT-punct, VERB-advcl)	1	1.72%
ADJ(PUNCT-punct)	1	1.72%
ADJ(NOUN-obl, NOUN-obl, PUNCT-punct)	1	1.72%
VERB(NOUN-obl, PRON-obl, PUNCT-punct)	1	1.72%
ADJ(ADJ-advmod)	1	1.72%
VERB(NOUN-obl, PUNCT-punct, VERB-obl)	1	1.72%
VERB(NOUN-obl, NOUN-obl, PRON-obl, PUNCT-punct)	1	1.72%
VERB(ADJ-obl, NOUN-obl, PUNCT-punct)	1	1.72%
NOUN(ADJ-nmod)	1	1.72%
NOUN(NOUN-orphan, PUNCT-punct)	1	1.72%
NOUN(VERB-acl)	1	1.72%
NOUN(NOUN-conj, NOUN-conj, NOUN-conj)	1	1.72%
VERB(NOUN-nsubj:pass, NOUN-obl:arg, PUNCT-punct)	1	1.72%
VERB(NOUN-nsubj, NOUN-obl:arg, PUNCT-punct, VERB-conj)	1	1.72%
NOUN(ADJ-amod:att)	1	1.72%
VERB(NOUN-nmod:obl, NOUN-nsubj, PUNCT-punct)	1	1.72%
VERB(NOUN-nmod:obl, NOUN-nsubj, NOUN-obj, PUNCT-punct)	1	1.72%
NOUN(NOUN-nmod:att)	1	1.72%
VERB(NOUN-nmod:obl, NOUN-nsubj, PUNCT-punct, VERB-conj)	1	1.72%
VERB(NOUN-nmod:obl, NOUN-nmod:obl, NOUN-nsubj, PUNCT-punct)	1	1.72%
VERB(NOUN-nmod:obl, NOUN-obj, PUNCT-punct)	1	1.72%
ADJ(NOUN-nmod:obl, NOUN-nsubj, PUNCT-punct)	1	1.72%
VERB(NOUN-nmod:obl, NOUN-nsubj, PUNCT-punct, PUNCT-punct)	1	1.72%
VERB(NOUN-nmod:obl, NOUN-nsubj, NOUN-obj, PUNCT-punct, VERB-conj)	1	1.72%
NOUN(PROPN-nmod:att)	1	1.72%
VERB(NOUN-nsubj, NOUN-obl, PRON-cop, PUNCT-punct)	1	1.72%
VERB(NOUN-nsubj, NOUN-obl, PUNCT-punct, VERB-xcomp)	1	1.72%
VERB(PUNCT-punct, VERB-xcomp)	1	1.72%
NOUN(NOUN-list, PUNCT-punct)	1	1.72%
VERB(NOUN-nsubj, NOUN-obj, VERB-conj)	1	1.72%
VERB(PROPN-nsubj, PUNCT-punct, VERB-xcomp)	1	1.72%
VERB(AUX-aux, NOUN-obl, PUNCT-punct, VERB-advcl)	1	1.72%
NOUN(NOUN-compound, NOUN-compound)	1	1.72%
VERB(AUX-aux, NOUN-nsubj, NOUN-obl, PUNCT-punct, VERB-advcl)	1	1.72%
VERB(AUX-aux, AUX-aux, NOUN-nsubj, NOUN-obl, PUNCT-punct, VERB-advcl)	1	1.72%
VERB(AUX-aux, AUX-aux, NOUN-nsubj, NOUN-obl, PUNCT-punct)	1	1.72%
VERB(AUX-aux, PUNCT-punct, VERB-advcl)	1	1.72%
VERB(AUX-aux, NOUN-obj, PUNCT-punct, VERB-advcl)	1	1.72%
VERB(AUX-aux, AUX-aux, NOUN-nsubj, PUNCT-punct, VERB-advcl)	1	1.72%
VERB(AUX-aux, AUX-aux, NOUN-obl, PUNCT-punct, VERB-advcl)	1	1.72%
VERB(AUX-aux, NOUN-obj, NOUN-obl, PUNCT-punct, VERB-advcl)	1	1.72%
VERB(AUX-aux, NOUN-nsubj, PUNCT-punct, VERB-advcl)	1	1.72%
VERB(AUX-aux, NOUN-obl, NOUN-obl, PUNCT-punct, VERB-advcl)	1	1.72%
NOUN(NOUN-nmod:arg)	1	1.72%
NOUN(AUX-cop, NOUN-nmod:arg, NOUN-nsubj, PUNCT-punct)	1	1.72%
VERB(NOUN-nmod, NOUN-nsubj, PUNCT-punct)	1	1.72%
VERB(NOUN-nmod, NOUN-nsubj, NOUN-obj, PUNCT-punct)	1	1.72%
VERB(AUX-aux:pass, NOUN-nmod, NOUN-nsubj:pass, PUNCT-punct)	1	1.72%
VERB(ADJ-xcomp:adj, NOUN-nsubj, PUNCT-punct)	1	1.72%
VERB(NOUN-nmod, NOUN-nmod, NOUN-nsubj, PUNCT-punct)	1	1.72%
VERB(NOUN-nmod, NOUN-obj, PROPN-nsubj, PUNCT-punct)	1	1.72%
VERB(ADJ-xcomp:adj, NOUN-nmod, NOUN-nsubj, PUNCT-punct)	1	1.72%
VERB(ADV-advmod, AUX-aux:pass, NOUN-nmod, NOUN-nsubj:pass, PUNCT-punct)	1	1.72%
VERB(ADV-advmod, NOUN-nmod, NOUN-nsubj, PUNCT-punct)	1	1.72%
VERB(AUX-aux:pass, NOUN-nmod, NOUN-nmod, NOUN-nsubj:pass, PUNCT-punct)	1	1.72%
VERB(CCONJ-cc)	1	1.72%
VERB(NOUN-obl, NOUN-obl, PROPN-nsubj, PUNCT-punct)	1	1.72%
ADJ(ADJ-nsubj)	1	1.72%
